point_time,value
2026-07-20 03:20:00+00:00,949.3
2026-07-20 03:25:00+00:00,949.4
2026-07-20 03:30:00+00:00,945.8
2026-07-20 03:35:00+00:00,942.3
2026-07-20 03:40:00+00:00,942.7
2026-07-20 03:45:00+00:00,942.8
2026-07-20 03:50:00+00:00,942.6
2026-07-20 03:55:00+00:00,949.3
2026-07-20 04:00:00+00:00,910.3
2026-07-20 04:05:00+00:00,918.0
2026-07-20 04:10:00+00:00,926.5
2026-07-20 04:15:00+00:00,926.3
2026-07-20 04:20:00+00:00,917.6
2026-07-20 04:25:00+00:00,917.5
2026-07-20 04:30:00+00:00,900.6
2026-07-20 04:35:00+00:00,904.9
2026-07-20 04:40:00+00:00,906.6
2026-07-20 04:45:00+00:00,906.6
2026-07-20 04:50:00+00:00,906.5
2026-07-20 04:55:00+00:00,911.5
2026-07-20 05:00:00+00:00,914.7
2026-07-20 05:05:00+00:00,914.5
2026-07-20 05:10:00+00:00,914.7
2026-07-20 05:15:00+00:00,914.9
2026-07-20 05:20:00+00:00,915.6
2026-07-20 05:25:00+00:00,909.8
2026-07-20 05:30:00+00:00,909.0
2026-07-20 05:35:00+00:00,908.9
2026-07-20 05:40:00+00:00,909.0
2026-07-20 05:45:00+00:00,909.0
2026-07-20 05:50:00+00:00,909.8
2026-07-20 05:55:00+00:00,909.9
2026-07-20 06:00:00+00:00,918.4
2026-07-20 06:05:00+00:00,918.8
2026-07-20 06:10:00+00:00,909.3
2026-07-20 06:15:00+00:00,996.9
2026-07-20 06:20:00+00:00,909.1
2026-07-20 06:25:00+00:00,905.7
2026-07-20 06:30:00+00:00,889.2
2026-07-20 06:35:00+00:00,884.9
2026-07-20 06:40:00+00:00,886.1
2026-07-20 06:45:00+00:00,883.5
2026-07-20 06:50:00+00:00,881.7
2026-07-20 06:55:00+00:00,884.6
2026-07-20 07:00:00+00:00,886.4
2026-07-20 07:05:00+00:00,882.6
2026-07-20 07:10:00+00:00,878.4
2026-07-20 07:15:00+00:00,876.9
2026-07-20 07:20:00+00:00,876.6
2026-07-20 07:25:00+00:00,876.7
2026-07-20 07:30:00+00:00,897.7
2026-07-20 07:35:00+00:00,897.6
